source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,ship_date
EMO BON ROSKOGO Wa 210618 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,120?,,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,20211019.0
EMO BON ROSKOGO Wa 210618 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,120?,,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,20211019.0
EMO BON ROSKOGO Wa 210618 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:30+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:30+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,120?,,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,20211019.0
EMO BON ROSKOGO Wa 210618 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,120?,,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,20211019.0
EMO BON ROSKOGO Wa 210618 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:30+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T12:30+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T13:00+02:00,3,,3.0,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T13:00+02:00,3,,3.0,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T13:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210618 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Christian Jeanthon; Laurence Garczarek,orcid.org/0000-0002-7339-574X; orcid.org/0000-0002-8191-8395,flood_tide,2,7.5,2021-06-18T13:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-06-18,XXX,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 210802 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,20211019.0
EMO BON ROSKOGO Wa 210802 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,20211019.0
EMO BON ROSKOGO Wa 210802 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-08-02,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 210802 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-08-02,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 210802 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,20211019.0
EMO BON ROSKOGO Wa 210802 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,20211019.0
EMO BON ROSKOGO Wa 210802 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-08-02,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 210802 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-08-02,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 210802 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,3,,3.0,N,Hand pump,WaSOP 1,na,,2021-08-02,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 210802 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-02T09:30+02:00,ROSKOGO Wa 210802,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2021-08-02T13:00+02:00,0.22-3,3.0,0.22,N,Hand pump,WaSOP 1,na,,2021-08-02,XXX,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 211014 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-10-14,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-10-14,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-10-14,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2021-10-14,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,3,,3.0,N,Hand pump,WaSOP 1,na,,,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211014 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-14T09:30+02:00,ROSKOGO Wa 211014,Fabrice Not;Laure Guillou,XXX;XXX,flood_tide,2,7.5,2021-10-14T12:00+02:00,0.22-3,3.0,0.22,N,Hand pump,WaSOP 1,na,,,XXX,-80°C,Fabrice Not;Laure Guillou,XXX,,,
EMO BON ROSKOGO Wa 211213 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2021-12-13,,,,,,,
EMO BON ROSKOGO Wa 211213 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,3,,3.0,N,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 211213 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-13T09:30+02:00,ROSKOGO Wa 211213,Christian Jeanthon,XXX;XXX,flood_tide,2,7.5,2021-12-13T12:00+02:00,0.22-3,3.0,0.22,N,Hand pump,WaSOP 1,na,,,,,,,,,
EMO BON ROSKOGO Wa 220210 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T11:55+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T11:55+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T12:40+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T12:40+02:00,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
