source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,ship_date
EMO BON ROSKOGO Wa 220210 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T11:55+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T11:55+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T12:40+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T12:40+02:00,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T13:00+02:00,3,,3.0,N,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220210 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-18T09:30+02:00,ROSKOGO Wa 210618,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-02-10T13:00+02:00,0.22-3,3.0,0.22,N,Hand pump,WaSOP 1,na,,2022-02-10,Roscoff Observatory - 80 °C,-80°C,Laurence Garczarek,orcid.org/0000-0002-8191-8395,,,
EMO BON ROSKOGO Wa 220425 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,0.22-3,3.0,0.22,Y,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,3,3.0,,N,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220425 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,Laurence Garczarek; Morgane Ratin,orcid.org/0000-0002-8191-8395; 0000-0002-1696-2322,flood_tide,2,7.5,2022-04-25T,0.22-3,0.2,3.0,N,Hand pump,WaSOP 1,na,,2022-04-25,Roscoff Observatory - 80 °C,-80°C,Morgane Ratin,orcid.org/0000-0002-1696-2322,,,
EMO BON ROSKOGO Wa 220607 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T11:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T11:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T12:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T12:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T11:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T11:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T12:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T12:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T13:00+02:00,3,3.0,,N,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220607 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-07T08:30+02:00,ROSKOGO Wa 220607,Sarah Romac,orcid.org/0000-0003-3785-6972,flood_tide,2,7.5,2022-06-07T13:00+02:00,0.2,0.2,3.0,N,Hand pump,WaSOP 1,na,,2022-06-07,Roscoff Observatory - 80 °C,-80°C,Sarah Romac,orcid.org/0000-0003-3785-6972,,,
EMO BON ROSKOGO Wa 220805 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,3,3.0,,N,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 220805 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-05T08:30+02:00,ROSKOGO Wa 220805,Laure Guillou,xxx,flood_tide,2,7.5,2022-08-05T13:00+02:00,0.2,0.2,3.0,N,Hand pump,WaSOP 1,na,,2022-08-05,Roscoff Observatory - 80 °C,-80°C,Laure Guillou,xxx,,,
EMO BON ROSKOGO Wa 221004 3µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 220805,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 3µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 3µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 3µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,3-200,3.0,200.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 0.22µm_1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 0.22µm_2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 0.22µm_3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 0.22µm_4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,0.2-3,0.2,3.0,Y,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 3µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,3,3.0,,N,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
EMO BON ROSKOGO Wa 221004 0.22µm_Blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-04 T08:30+02:00,ROSKOGO Wa 221004,Christian Jeanthon,orcid.org/0000-0002-7339-574X,flood_tide,2,7.5,2022-10-04T13:00+02:00,0.2,0.2,3.0,N,Hand pump,WaSOP 1,na,,2022-10-04,Roscoff Observatory - 80 °C,-80°C,Christian Jeanthon,orcid.org/0000-0002-7339-574X,,,
